"identifier","title","author","recipient","date created","creator","description","imageurl1","imageurl2","imageurl3","archive","archive location","publisher","rights","tags","provenance","bibcite"
"10Mar2008-000000 DSCN5245.JPG","Ora Marshino to Ionia R. Whipper, Prairie View, Texas, July 12, 1928","Ora Marshino","Ionia R. Whipper, Prairie View, Texas","July 12, 1928","Ora Marshino","Acknowledges IRW's reports in Blanche Haines's absence.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5245.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ora Marshino to Ionia R. Whipper, Prairie View, Texas, July 12, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5246 whipper texas.JPG","Ionia R. Whipper, Prairie View, Texas to Blanche M. Haines, July 8, 1928","Ionia R. Whipper, Prairie View, Texas","Blanche M. Haines","July 8, 1928","Ionia R. Whipper, Prairie View, Texas","Letter with weekly report for weeks ending June 30 and July 7, 1928. 3 pages.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5246%20whipper%20texas.JPG","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5247%20whipper%20texas%20report.JPG","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5252%20whipper%20texas%20report.JPG","Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Prairie View, Texas to Blanche M. Haines, July 8, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5253 ionia whipper texas 1928.JPG","Blanche M. Haines to Ionia R. Whipper, Prairie View, Texas, June 29, 1928","Blanche M. Haines","Ionia R. Whipper, Prairie View, Texas","June 29, 1928","Blanche M. Haines","Acknowledges letter of June 25; includes mention of IRW's fundraising efforts with the “colored people” for “colored nurses.”","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5253%20ionia%20whipper%20texas%201928.JPG","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5252%20whipper%20texas%20report.JPG",,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Prairie View, Texas, June 29, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5254 whipper texas syllabus.JPG","Ionia R. Whipper, Prairie View, Texas to Blanche M. Haines, June 25, 1928","Ionia R. Whipper, Prairie View, Texas","Blanche M. Haines","June 25, 1928","Ionia R. Whipper, Prairie View, Texas","Weekly report for weeks ending June 16 & 23, 1928; requests copy of syllabus of instruction for midwives. 2 pages.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5254%20whipper%20texas%20syllabus.JPG","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5255%20whipper%20texas.JPG",,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Prairie View, Texas to Blanche M. Haines, June 25, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5256.JPG","Blanche M. Haines to Ionia R. Whipper, Prairie View, Texas, June 18, 1928","Blanche M. Haines","Ionia R. Whipper, Prairie View, Texas","June 18, 1928","Blanche M. Haines","Acknowledges IRW's letter of June 14. Mentions future work in Texas.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5256.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Prairie View, Texas, June 18, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5257 whipper texas.JPG","Ionia R. Whipper, Prairie View, Texas to Blanche M. Haines, June 14, 1928","Ionia R. Whipper, Prairie View, Texas","Blanche M. Haines","June 14, 1928","Ionia R. Whipper, Prairie View, Texas","Comments on summer weather in Texas and her relocation to Prairie View College.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5257%20whipper%20texas.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Prairie View, Texas to Blanche M. Haines, June 14, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5258.JPG","Blanche M. Haines to Ionia R. Whipper, Brenham, Texas, June 15, 1928","Blanche M. Haines","Ionia R. Whipper, Brenham, Texas","June 15, 1928","Blanche M. Haines","Encourages IRW to focus on [birth] “registration work” in Texas.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5258.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Brenham, Texas, June 15, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5259 whipper texas report.JPG","Ionia R. Whipper, Prairie View, Texas to [Haines], June 10, 1928","Ionia R. Whipper, Prairie View, Texas","[Haines]","June 10, 1928","Ionia R. Whipper, Prairie View, Texas","Weekly report for weeks ending June 2 and 9. Includes 2 page list of “Midwives in Washington County [Texas]”, by name & town.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5259%20whipper%20texas%20report.JPG","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5261%20midwife%20list%20texas%20whipper.JPG","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5260%20midwife%20list%20texas%20whipper.JPG","Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Ionia R. Whipper, Prairie View, Texas to [Haines], June 10, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5262.JPG","Blanche M. Haines to Ionia R. Whipper, Brenham, Texas, June 5, 1928","Blanche M. Haines","Ionia R. Whipper, Brenham, Texas","June 5, 1928","Blanche M. Haines","Discusses future work for IRW in Delaware and Texas.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5262.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Brenham, Texas, June 5, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
"10Mar2008-000000 DSCN5263.JPG","Blanche M. Haines to Ionia R. Whipper, Brenham, Texas, May 21, 1928","Blanche M. Haines","Ionia R. Whipper, Brenham, Texas","May 21, 1928","Blanche M. Haines","Acknowledges IRW's report for week ending May 26.","http://cliotropic.org/tmp/omeka/10Mar2008-000000%20DSCN5263.JPG",,,"Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland","File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928","Shane Landrum","The documents reproduced here are among the records of the United States Children's Bureau in the custody of the National Archives of the United States. Shane Landrum does not claim any copyright interest in these official U.S. Government records.","Ionia Whipper, Blanche Haines, Texas, Midwives, Birth Registration Fieldwork","Digital image  by Shane Landrum, March 2008.","Blanche M. Haines to Ionia R. Whipper, Brenham, Texas, May 21, 1928, File 4-2-1-2-1, Folder 1, Box 267, Central File 1925-1928, Records of the US Children's Bureau (RG 102), National Archives, College Park, Maryland."
